Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
INTL; 201;RES. METH. IN SOC. SCIE.;01;000302;27.11.2022;11:45:00;14:45:00;SNA158;MID;32;CASE;2221
INTL; 201;RES. METH. IN SOC. SCIE.;01;000302;17.01.2023;11:45:00;14:45:00;ENGB29;FIN;32;CASE;2221
INTL; 203;INTRO. INTL. REL.;01;001466;4.12.2022;11:45:00;14:45:00;ENGZ50;MID;45;CASE;2221
INTL; 203;INTRO. INTL. REL.;01;001466;19.01.2023;15:00:00;18:00:00;SOSB08;FIN;45;CASE;2221
INTL; 203;INTRO. INTL. REL.;02;001466;19.01.2023;15:00:00;18:00:00;SOSB08;FIN;57;CASE;2221
INTL; 203;INTRO. INTL. REL.;02;001466;4.12.2022;11:45:00;14:45:00;ENGZ50;MID;57;CASE;2221
INTL; 203;INTRO. INTL. REL.;02;001466;19.01.2023;15:00:00;18:00:00;SOSB10;FIN;57;CASE;2221
INTL; 204;INTRO. COMP. POLITI;01;001464;17.01.2023;15:00:00;18:00:00;SOSB10;FIN;81;CASE;2221
INTL; 204;INTRO. COMP. POLITI;01;001464;23.11.2022;19:00:00;22:00:00;SOSB10;MID;81;CASE;2221
INTL; 204;INTRO. COMP. POLITI;01;001464;23.11.2022;19:00:00;22:00:00;SOSB11;MID;81;CASE;2221
INTL; 204;INTRO. COMP. POLITI;01;001464;17.01.2023;15:00:00;18:00:00;SOSB11;FIN;81;CASE;2221
INTL; 301;TURK. CONST. SYS.;01;002818;22.01.2023;08:30:00;11:30:00;SOSB10;FIN;69;CASE;2221
INTL; 301;TURK. CONST. SYS.;01;002818;22.01.2023;08:30:00;11:30:00;SOSB11;FIN;69;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;16.01.2023;08:30:00;11:30:00;SNAA51;FIN;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;22.10.2022;11:45:00;14:45:00;ENGZ50;MID;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;16.01.2023;08:30:00;11:30:00;SNAA52;FIN;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;12.11.2022;18:15:00;21:15:00;ENGZ50;MID;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;11.12.2022;11:45:00;14:45:00;ENGZ50;MID;78;CASE;2221
