Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
LEC;INDR; 202;02;000960;ENGINEERING ECONOMICS;45;UGRD;CE;Y;N;Y;N;N;N;N;SNAB172;LCTR;104;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;2355;P
LEC;INDR; 252;01;000299;APPLIED STATISTICS;123;UGRD;CE;N;Y;N;Y;N;N;N;SNAA21;LCTR;154;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1531;P
LAB;INDR; 252;LABA;000299;APPLIED STATISTICS;123;UGRD;CE;N;Y;N;N;N;N;N;SNAB149;CMLB;105;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;2411;P
LEC;INDR; 262;01;001430;INTRO OPT. METHODS;139;UGRD;CE;Y;N;Y;N;N;N;N;SNAA22;LCTR;154;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1533;P
PRB;INDR; 262;PSA;001430;INTRO OPT. METHODS;35;UGRD;CE;N;N;N;N;Y;N;N;CASEZ08;LCTR;53;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1534;P
PRB;INDR; 262;PSB;001430;INTRO OPT. METHODS;53;UGRD;CE;N;N;N;Y;N;N;N;CASEB24;LCTR;57;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;1535;P
PRB;INDR; 262;PSC;001430;INTRO OPT. METHODS;51;UGRD;CE;Y;N;N;N;N;N;N;CASEZ08;LCTR;53;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;1536;P
LEC;INDR; 344;01;000213;MODELING AND SIMULATION;115;UGRD;CE;N;N;Y;N;N;N;N;SNAA21;LCTR;154;11:30:00;14:15:00;27.02.2023;2.06.2023;2222;1537;P
LAB;INDR; 344;LABA;000213;MODELING AND SIMULATION;102;UGRD;CE;N;N;N;N;Y;N;N;SNAA22;LCTR;154;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1538;P
LEC;INDR; 372;01;001879;PROD. PLAN & CONTROL;100;UGRD;CE;N;Y;N;Y;N;N;N;SNAA22;LCTR;154;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1539;P
LEC;INDR; 422;01;004535;DATA SCI. FOR OPERATIONAL DEC.;23;UGRD;CE;N;Y;N;Y;N;N;N;CASEB24;LCTR;57;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2351;P
LEC;INDR; 423;01;004556;BAYESIAN DATA ANALYSIS;9;UGRD;CE;Y;N;Y;N;N;N;N;ENGZ15;LCTR;58;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2527;P
LEC;INDR; 440;01;001889;PROJECT MANAGEMENT;38;UGRD;CE;Y;N;Y;N;N;N;N;ENGZ27;LCTR;45;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;1540;P
LEC;INDR; 460;01;000412;OPERATIONS RESEARCH APPL;11;UGRD;CE;N;Y;N;Y;N;N;N;SNA103;LCTR;49;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1541;P
PRB;INDR; 460;PSA;000412;OPERATIONS RESEARCH APPL;11;UGRD;CE;N;N;Y;N;N;N;N;SNA103;LCTR;49;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;1542;P
LEC;INDR; 471;01;002052;SERVICE OPER. ANALYSIS;31;UGRD;CE;N;Y;N;Y;N;N;N;ENGB18;LCTR;36;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1543;P
LEC;INDR; 473;01;001040;FINANCIAL ENGINEERING;68;UGRD;CE;N;Y;N;Y;N;N;N;SOSB07;LCTR;107;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1544;P
LEC;INDR; 481;01;001307;INFORMATION SYSTEMS;67;UGRD;CE;Y;N;N;N;N;N;N;SNAA21;LCTR;154;11:30:00;14:15:00;27.02.2023;2.06.2023;2222;1545;P
LEC;INDR; 484;01;001551;LOGISTICS MANAGEMENT;12;UGRD;CE;Y;N;Y;N;N;N;N;SNA157;LCTR;49;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1546;P
PRB;INDR; 484;PSA;001551;LOGISTICS MANAGEMENT;12;UGRD;CE;N;N;Y;N;N;N;N;SNA158;LCTR;70;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;1547;P
LEC;INDR; 491;01;001295;INDUSTRIAL ENG. DESIGN I;61;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1548;P
LEC;INDR; 511;01;000226;ADV. OPTIMIZATION METHODS;16;MAST;GSSE;N;Y;N;Y;N;N;N;SNA157;LCTR;49;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1549;P
